   91.3   11.358  13
   96.3   11.355  12.62
   134.6  16.100  12.97
   135.8  16.315  12.02
   174.9  19.205  12.21
   173.2  20.263  11.9
   161.6  16.885  12.02
   176.8  19.441  12.01
   154.9  17.379  12.08
   159.3  16.028  11.8
   136    15.401  11.82
   108.3  13.518  11.94
   109.1  14.023  11.8
   130    14.442  11.78
   137.5  17.916  11.56
   172.7  17.655  11.55
   180.7  21.990  11.68
   184    20.036  11.61
   162.1  19.224  11.91
   147.4  19.367  11.89
   148.5  16.923  12.03
   152.3  18.413  12.27
   126.2  16.616  12.27
   98.9   14.220  12.05
